Date,AAPL,CAT,CVX,DUK,GS,HD,INTC,JNJ,JPM,KO,MCD,MMM,MSFT,NEM,PFE,PG,UNH,VZ,WFC,XOM
2015-11-06,27.295272827148438,57.65886688232422,60.56077575683594,44.37381362915039,161.76243591308594,98.8433609008789,26.744234085083008,76.69987487792969,52.00103759765625,30.410167694091797,88.1324691772461,95.12800598144531,47.76656723022461,13.74627685546875,20.91571044921875,57.400421142578125,97.39180755615234,26.705101013183594,42.11271286010742,54.0378532409668
2015-11-09,27.18478775024414,56.13618087768555,59.45942687988281,44.51133728027344,159.8050079345703,97.68218231201172,26.356977462768555,75.88711547851562,51.188289642333984,30.105775833129883,87.83690643310547,94.05884552001953,47.105560302734375,13.997064590454102,20.743112564086914,57.27132034301758,96.92523956298828,26.425107955932617,41.82619094848633,52.88275909423828
2015-11-10,26.3280086517334,56.55785369873047,60.045528411865234,44.660491943359375,160.65780639648438,98.27848052978516,26.2463436126709,76.34618377685547,51.40857696533203,30.272462844848633,88.06243896484375,94.13054656982422,46.540225982666016,13.683573722839355,20.829408645629883,57.552345275878906,98.30794525146484,26.308443069458008,42.15796661376953,53.140899658203125
2015-11-11,26.179197311401367,56.15181350708008,59.375709533691406,45.23060989379883,160.3166961669922,97.84696197509766,25.9697265625,76.65470123291016,51.157894134521484,30.468137741088867,88.55247497558594,95.0025863647461,46.661983489990234,13.942200660705566,20.798593521118164,57.69664764404297,97.16277313232422,26.43677520751953,42.07501220703125,52.66981506347656
2015-11-12,26.091272354125977,53.6140022277832,57.87507247924805,44.60747146606445,156.564453125,97.14080047607422,25.606178283691406,75.45819091796875,50.13245391845703,30.134754180908203,87.19908905029297,93.3599624633789,46.374977111816406,13.58169174194336,20.582839965820312,56.709232330322266,95.70372009277344,26.15094757080078,41.599971771240234,51.24367904663086
2015-11-13,25.329181671142578,54.37144088745117,57.115074157714844,44.34230041503906,154.63143920898438,94.1515121459961,25.37698745727539,75.1646728515625,49.79824447631836,29.989809036254883,85.53459930419922,92.97172546386719,45.95750045776367,13.714926719665527,20.508867263793945,56.17751693725586,94.50763702392578,25.80093765258789,41.14755630493164,50.39833450317383
2015-11-16,25.744041442871094,54.96491241455078,59.61846160888672,44.89915084838867,156.06898498535156,94.8105697631836,25.369081497192383,76.173095703125,50.51985168457031,30.410167694091797,86.38243103027344,94.5008316040039,46.766357421875,13.816810607910156,20.441057205200195,57.19533157348633,96.55201721191406,26.2734432220459,41.675376892089844,52.20518493652344
2015-11-17,25.633567810058594,54.18404769897461,59.34465789794922,43.639617919921875,154.77761840820312,99.00031280517578,25.795854568481445,76.3838119506836,50.23120880126953,30.199968338012695,86.2890853881836,93.7959976196289,46.381099700927734,13.229026794433594,20.262285232543945,57.0206413269043,97.03553009033203,26.296770095825195,41.44163513183594,51.59861373901367
2015-11-18,26.445253372192383,54.910240173339844,60.11389923095703,44.54779052734375,157.28729248046875,99.28277587890625,26.20682144165039,77.26426696777344,51.23386001586914,30.642078399658203,87.52578735351562,94.62873077392578,47.1516227722168,13.816810607910156,20.533523559570312,57.651100158691406,99.46166229248047,26.471771240234375,41.976993560791016,52.10194396972656
2015-11-19,26.781204223632812,54.675960540771484,59.214256286621094,45.4029541015625,156.7755584716797,99.5338363647461,27.107776641845703,77.12881469726562,51.39339828491211,31.24361228942871,88.12467956542969,95.22393798828125,47.23042297363281,14.145963668823242,19.90475082397461,57.8941535949707,93.84598541259766,26.693435668945312,42.20320129394531,51.81801986694336
